ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3513009;COTIA;Consumo Humano;groundwater;9;9;0;9;59,700000;288300,00
3513009;COTIA;Consumo Humano;surface;1;1;0;1;1,000000;8736,00
3513009;COTIA;Indústria;groundwater;33;33;0;23;196,120000;1024552,80
3513009;COTIA;Indústria;surface;3;3;0;3;5,400000;7300,00
3513009;COTIA;Irrigação;groundwater;4;4;0;4;10,890000;49636,80
3513009;COTIA;Irrigação;surface;18;18;0;16;304,400000;176980,00
3513009;COTIA;Outras;groundwater;30;30;0;23;188,190000;743940,00
3513009;COTIA;Outras;surface;12;7;5;7;146,000000;231645,00
3513009;COTIA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;36;0;36;0;0,000000;0,00
3513801;DIADEMA;Consumo Humano;groundwater;10;10;0;10;697,150000;5019480,00
3513801;DIADEMA;Consumo Humano;surface;1;1;0;1;2,000000;10950,00
3513801;DIADEMA;Indústria;groundwater;21;21;0;15;155,800000;480480,00
3513801;DIADEMA;Indústria;surface;5;5;0;5;33,000000;179280,00
3513801;DIADEMA;Outras;groundwater;10;10;0;7;110,280000;688963,20
3513801;DIADEMA;Outras;surface;1;1;0;1;1,000000;3168,00
3513801;DIADEMA;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;33;0;33;0;0,000000;0,00
3515004;EMBU DAS ARTES;Abastecimento Público;surface;1;1;0;1;1,000000;4380,00
3515004;EMBU DAS ARTES;Consumo Humano;groundwater;2;2;0;2;163,400000;809184,00
3515004;EMBU DAS ARTES;Indústria;groundwater;31;31;0;26;223,490000;1308780,00
3515004;EMBU DAS ARTES;Indústria;surface;5;5;0;5;123,880000;969312,00
3515004;EMBU DAS ARTES;Irrigação;groundwater;2;2;0;2;15,000000;15120,00
3515004;EMBU DAS ARTES;Irrigação;surface;1;1;0;1;52,700000;0,00
3515004;EMBU DAS ARTES;Mineração - Extração de Areia/Cascalho em Leito de Rio;groundwater;1;1;0;0;0,000000;0,00
3515004;EMBU DAS ARTES;Outras;groundwater;27;27;0;18;124,500000;483216,00
3515004;EMBU DAS ARTES;Outras;surface;1;0;1;0;0,000000;0,00
3515004;EMBU DAS ARTES;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;68;0;68;0;0,000000;0,00
3515103;EMBU-GUAÇU;Consumo Humano;groundwater;2;2;0;2;2497,000000;17978400,00
3515103;EMBU-GUAÇU;Indústria;groundwater;2;2;0;0;0,000000;0,00
3515103;EMBU-GUAÇU;Indústria;surface;2;2;0;2;16,000000;18216,00
3515103;EMBU-GUAÇU;Irrigação;groundwater;2;2;0;2;5,500000;20970,00
3515103;EMBU-GUAÇU;Irrigação;surface;2;2;0;2;13,290000;26821,44
3515103;EMBU-GUAÇU;Outras;groundwater;2;2;0;0;0,000000;0,00
3515103;EMBU-GUAÇU;Outras;surface;1;1;0;1;19,000000;22800,00
3515707;FERRAZ DE VASCONCELOS;Consumo Humano;surface;1;1;0;1;3,000000;10950,00
3515707;FERRAZ DE VASCONCELOS;Indústria;groundwater;6;6;0;4;16,260000;64233,60
3515707;FERRAZ DE VASCONCELOS;Indústria;surface;1;1;0;1;5,000000;7200,00
3515707;FERRAZ DE VASCONCELOS;Irrigação;surface;1;1;0;1;4,000000;2880,00
3515707;FERRAZ DE VASCONCELOS;Outras;groundwater;3;3;0;3;41,660000;268036,80
3515707;FERRAZ DE VASCONCELOS;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;20;0;20;0;0,000000;0,00
3516309;FRANCISCO MORATO;Abastecimento Público;groundwater;1;1;0;0;0,000000;0,00
3516309;FRANCISCO MORATO;Irrigação;surface;3;3;0;3;41,600000;363417,60
3516309;FRANCISCO MORATO;Outras;groundwater;2;2;0;2;27,000000;96480,00
3516309;FRANCISCO MORATO;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;12;0;12;0;0,000000;0,00
3516408;FRANCO DA ROCHA;Abastecimento Público;groundwater;1;1;0;1;7,000000;15288,00
3516408;FRANCO DA ROCHA;Abastecimento Público;surface;1;1;0;1;168,840000;1474986,24
3516408;FRANCO DA ROCHA;Consumo Humano;groundwater;2;2;0;2;23,000000;49680,00
3516408;FRANCO DA ROCHA;Consumo Humano;surface;6;6;0;6;51,120000;355068,32
3516408;FRANCO DA ROCHA;Indústria;groundwater;17;17;0;13;120,320000;635524,80
3516408;FRANCO DA ROCHA;Indústria;surface;5;5;0;5;161,000000;997952,00
3516408;FRANCO DA ROCHA;Irrigação;surface;4;4;0;4;56,140000;295712,88
3516408;FRANCO DA ROCHA;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;1;1;0;0;0,000000;0,00
3516408;FRANCO DA ROCHA;Outras;groundwater;17;17;0;12;64,140000;436723,20
