ibge_code;municipality;year;macro_class;area_ha
3503901;ARUJÁ;1985;farming;4,70759816688867e+03
3503901;ARUJÁ;1985;native_vegetation;3,73712540946125e+03
3503901;ARUJÁ;1985;non_vegetated_other;6,66002824707032e+01
3503901;ARUJÁ;1985;urban;1,06408977536617e+03
3503901;ARUJÁ;1985;water;4,20190628295899e+01
3503901;ARUJÁ;1986;farming;4,63319127865007e+03
3503901;ARUJÁ;1986;native_vegetation;3,71878929469685e+03
3503901;ARUJÁ;1986;non_vegetated_other;5,19648679687501e+01
3503901;ARUJÁ;1986;urban;1,15584465463868e+03
3503901;ARUJÁ;1986;water;5,76426010620119e+01
3503901;ARUJÁ;1987;farming;4,64553163810439e+03
3503901;ARUJÁ;1987;native_vegetation;3,64832257617876e+03
3503901;ARUJÁ;1987;non_vegetated_other;4,36604747680665e+01
3503901;ARUJÁ;1987;urban;1,22178168233037e+03
3503901;ARUJÁ;1987;water;5,81363256347657e+01
3503901;ARUJÁ;1988;farming;4,67366626172501e+03
3503901;ARUJÁ;1988;native_vegetation;3,57011651784741e+03
3503901;ARUJÁ;1988;non_vegetated_other;4,90051658081056e+01
3503901;ARUJÁ;1988;urban;1,27267474317021e+03
3503901;ARUJÁ;1988;water;5,19700084655763e+01
3503901;ARUJÁ;1989;farming;4,58445897163105e+03
3503901;ARUJÁ;1989;native_vegetation;3,59914087290723e+03
3503901;ARUJÁ;1989;non_vegetated_other;4,87583221557618e+01
3503901;ARUJÁ;1989;urban;1,33228242325446e+03
3503901;ARUJÁ;1989;water;5,27921070678711e+01
3503901;ARUJÁ;1990;farming;4,49657600996110e+03
3503901;ARUJÁ;1990;native_vegetation;3,62717169262773e+03
3503901;ARUJÁ;1990;non_vegetated_other;5,03197636169434e+01
3503901;ARUJÁ;1990;urban;1,38818857125861e+03
3503901;ARUJÁ;1990;water;5,51766595520020e+01
3503901;ARUJÁ;1991;farming;4,42990245787375e+03
3503901;ARUJÁ;1991;native_vegetation;3,62766274699785e+03
3503901;ARUJÁ;1991;non_vegetated_other;4,91682848876954e+01
3503901;ARUJÁ;1991;urban;1,44787613035285e+03
3503901;ARUJÁ;1991;water;6,28230769042972e+01
3503901;ARUJÁ;1992;farming;4,43929154989038e+03
