"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"wef_nexus_watershed_alto_tiete.nlogox"
"base_convertion_calibration"
"09/11/2026 09:50:18:886 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","climate-scenario","governance-mode","efficiency-gain","hectares-per-farmer","solar-start-year","solar-innovation-coef","solar-imitation-coef","max-solar-adoption","no-pump-irrigation-frac","solar-pump-irrigation-frac","stress-threshold","restriction-strength","urban-pressure-coef","water-stress-exit-coef","warming-ssp245","warming-ssp585","et-sensitivity","climate-onset-year","initial-utilisation","native-release?","native-to-farming-share","base-conversion-rate","[step]","mean [water-stress] of municipalities","mean [water-stress-realised] of municipalities","sum [irrigation-demanded] of farmers","sum [irrigation-applied] of farmers","basin-abstraction-realised","count municipalities with [restriction-level > 0]","mean [restriction-level] of municipalities","count farmers with [has-solar-pump?]","100 * (sum [area-urban] of municipalities) / (sum [total-area] of municipalities)","100 * (sum [area-farming] of municipalities) / (sum [total-area] of municipalities)","count farmers","current-year","basin-wef-index","basin-water-index","basin-energy-index","basin-food-index"
"10","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","1","0.5060284098041241","0.5060284098041241","14046.29068803926","14046.29068803926","14062.447043377726","0","0","0","20.232894082956733","26.41066894580088","1913","1986","0.649672639366374","0.29934527873275124","0","0.9999999999999968"
"6","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.006","1","0.5048957550950877","0.5048957550950877","14073.249842504192","14073.249842504192","14150.6825530072","0","0","0","20.369516170911204","26.274046857846418","1905","1986","0.65045678493417","0.3009135698683401","0","0.9999999999999999"
"9","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","1","0.5088584319669222","0.5088584319669222","13951.746832766414","13951.746832766414","13973.01373952756","0","0","0","20.208994418400653","26.43456861035697","1913","1986","0.6477133932536693","0.2954267865073387","0","0.9999999999999998"
"2","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","1","0.5137678443409406","0.5137678443409406","14004.620339967585","14004.620339967585","14106.666464358597","0","0","0","20.23290641806755","26.410656610690083","1910","1986","0.644314569302426","0.2886291386048516","0","1.0000000000000004"
"5","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.005","1","0.5135678569852915","0.5135678569852915","13893.812763597054","13893.812763597054","13925.321993487807","0","0","0","20.335332554774602","26.30823047398302","1907","1986","0.6444530220871063","0.2889060441742115","0","1.000000000000001"
"7","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.007","1","0.5115118411583462","0.5115118411583462","14111.379506805746","14111.379506805746","14286.255422289329","0","0","0","20.40373129807558","26.239831730682052","1900","1986","0.6458764176596061","0.2917528353192129","0","0.9999999999999993"
"11","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","1","0.5093910269760699","0.5093910269760699","14140.087053884967","14140.087053884967","14213.072865428041","0","0","0","20.266994037349384","26.37656899140825","1913","1986","0.6473446736319525","0.2946893472639032","0","1.0000000000000018"
"4","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","1","0.5058337956201691","0.5058337956201691","14211.631815145087","14211.631815145087","14262.602533788619","0","0","0","20.301240378820463","26.342322649937163","1910","1986","0.649807372262959","0.2996147445259196","0","0.9999999999999986"
"3","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","1","0.5125491584091262","0.5125491584091262","14101.142825043362","14101.142825043362","14155.69552785811","0","0","0","20.267028557552262","26.376534471205364","1910","1986","0.6451582749475284","0.29031654989505606","0","1.0000000000000007"
"12","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","1","0.5077717786019587","0.5077717786019587","14029.51118543252","14029.51118543252","14178.38306007261","0","0","0","20.301138401148304","26.34242462760931","1901","1986","0.6484656917371057","0.29693138347421116","0","1.0000000000000002"
